molecule,smiles,qed,sas,logp,tpsa,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7f50879831b0>,C1=C(COc2ccc(Oc3ccccc3)cc2)OCO1,0.8296915794982821,2.227358103083745,3.703400000000002,36.92,0.996,1.0,0.992
<rdkit.Chem.rdchem.Mol object at 0x7f5087983220>,CCOC(=O)COC(=O)c1ccc(C(=O)OCC(=O)OCC)cc1,0.5128647881879419,1.8679293074865218,1.1263999999999998,105.2,0.996,1.0,0.992
<rdkit.Chem.rdchem.Mol object at 0x7f50879835a0>,C=CC(C)(C)C(O)CCC(=C)C,0.6257218893340776,3.685844632327197,2.915800000000002,20.23,0.996,1.0,0.992
<rdkit.Chem.rdchem.Mol object at 0x7f50879834c0>,CC1(C)c2cc(CCO)ccc2-c2ccc(CCO)cc21,0.9045418494948929,2.2683573101323002,3.062500000000001,40.46,0.996,1.0,0.992
<rdkit.Chem.rdchem.Mol object at 0x7f5087983370>,CCc1ccc(C(=O)c2ccccc2)cc1CC,0.7345402164564792,1.6917122585711013,4.042400000000003,17.07,0.996,1.0,0.992
<rdkit.Chem.rdchem.Mol object at 0x7f5087983300>,CCCc1ccc2c(c1)C(O)CCO2,0.7795369745431402,2.6354909643038056,2.4550000000000005,29.46,0.996,1.0,0.992
<rdkit.Chem.rdchem.Mol object at 0x7f5087983450>,CCCCCCCCC1COC(C2C=CC(c3ccc(CCCC)cc3)=CC2)OC1,0.32821016172882866,3.2488108449162905,7.728400000000009,18.46,0.996,1.0,0.992
<rdkit.Chem.rdchem.Mol object at 0x7f5087983530>,CCOC(CC(=O)c1c(C)cc(C(C)C)cc1C)OCC,0.526051063534661,2.561680158893708,4.398740000000004,35.53,0.996,1.0,0.992
<rdkit.Chem.rdchem.Mol object at 0x7f5087983610>,C1=CC2CC1C1C3CC(C21)C1C2CC(C4CCCC42)C31,0.4509043575191518,6.0795746462975675,4.372800000000004,0.0,0.996,1.0,0.992
<rdkit.Chem.rdchem.Mol object at 0x7f5087983680>,CCOC(=O)CCCCCC(C(=O)O)C(=O)c1ccccc1,0.3108122831701818,2.4321618631628628,3.083700000000001,80.67,0.996,1.0,0.992
<rdkit.Chem.rdchem.Mol object at 0x7f50879836f0>,CCCCCCOC(C)c1ccc2c(c1)oc1cc(OCCCC)ccc12,0.3298943406486871,2.703681695479272,7.422800000000008,31.6,0.996,1.0,0.992
<rdkit.Chem.rdchem.Mol object at 0x7f5087983bc0>,CC(C)(c1ccccc1)c1c(-c2ccccc2)ccc2ccccc12,0.3874611233839268,1.9231420686318579,6.832700000000006,0.0,0.996,1.0,0.992
<rdkit.Chem.rdchem.Mol object at 0x7f50879838b0>,c1ccc(COc2cccc3occc23)cc1,0.6702307365249959,1.7390430524287908,4.011800000000003,22.37,0.996,1.0,0.992
