molecule,smiles,qed,sas,logp,tpsa,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebb300>,COc1ccc(C2CC(=O)c3c(OC)cc(O)c(CCC(C)(C)O)c3O2)cc1,0.7850679420378633,3.104331195002601,3.819400000000003,85.22000000000001,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebb290>,CCc1ccc2c(c1)C(=O)c1cc(C(C)=O)ccc1-2,0.6502903648356767,1.9316683920005708,3.663000000000002,34.14,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebb680>,C=C=C=CCCCCCCCCCCCCCCCCCCC,0.1753409884877834,2.5278091389232564,8.524300000000004,0.0,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebb5a0>,CCCCC=CC(C=O)(C=CCCCC)CCC,0.27002672190228655,3.3576572721457607,5.464600000000005,17.07,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebb450>,COc1c(C(C)C)ccc(C)c1C(C)(C)CO,0.8679043897836829,2.5706889594629345,3.396920000000002,29.46,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebb3e0>,COC(=O)C(C)(C)CCCOc1ccc(C=O)cc1OC,0.4189426317327174,2.2002436204321683,2.865900000000001,61.83,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebb530>,C=C(CC(=O)c1ccc(OC)cc1)C(=O)O,0.6077436915265334,1.997186400214165,1.9087999999999998,63.60000000000001,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebb6f0>,O=C(O)c1ccc(-c2cc(=O)oc3cc(OCCCc4ccccc4)ccc23)o1,0.3613222623069433,2.2451127237190267,4.762800000000005,89.88000000000001,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebb610>,CCCCCC(O)C=CC1C(O)CC(OCC)C1CC#CCCC(=O)O,0.2970179252468163,4.30821775922563,3.1442000000000023,86.99000000000001,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebb7d0>,Cc1cc2c(C(C)(C)CC(=O)O)c3oc(C)cc3c(O)c2o1,0.7550978468767541,3.185347868268895,4.253740000000002,83.81,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebb760>,C=CC(=O)Oc1cccc2cccc(OC=O)c12,0.3574711699331495,2.5353584124172546,2.4664,52.6,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebb990>,CCCC=COCCCCCCCCCCCC,0.2632854619121427,2.2794701597197253,6.2377000000000065,9.23,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebbca0>,CCOCCOCCOCC(O)c1ccc(OC)cc1,0.627929004019766,2.5097330363512818,1.7982999999999998,57.150000000000006,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebbd80>,C=CCCc1ccc(C#Cc2ccc(C#Cc3ccc(CCC)cc3)cc2)cc1,0.3504506515234772,2.347208715687433,6.557300000000006,0.0,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebbdf0>,CCCOc1ccccc1OC(=O)C1CCC(C(=O)Oc2ccccc2OCCC)CC1,0.3546785178796448,2.2449386654728585,5.581600000000006,71.06,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebbd10>,CC1(c2cccc(OC3CC3)c2)CCC(=O)O1,0.751617831361172,3.006096575836837,2.780000000000001,35.53,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebbe60>,COCc1c(C(=O)O)cc(C2CC2)cc1C1CC1,0.8667775678996027,2.46319878548956,3.2860000000000014,46.53,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebbed0>,O=C(CCCO)c1cc2ccc3ccccc3c2o1,0.7243261822302749,2.1822506218461957,3.541200000000003,50.44,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9a7ebbf40>,CC1C=CCC(C(=O)Oc2ccccc2)C1C(=O)Oc1ccccc1,0.48052287225646384,3.182884301092283,4.026000000000003,52.60000000000001,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9c694c0b0>,CC1CC(C)(C)CC2=C1C(=O)c1c(cc3c(c1O)CC(O)C(C)(C)O3)C2=O,0.728955731874908,4.041970776065246,3.5983000000000027,83.83000000000001,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9c694c120>,COc1cc(C2COc3cc4c(c(O)c3C2=O)CC(C(C)(C)O)O4)ccc1O,0.7443507703653952,3.719832778470308,2.5397000000000016,105.45000000000002,0.99,0.999,0.989
<rdkit.Chem.rdchem.Mol object at 0x7ef9c694c190>,O=C(O)c1ccc(C(=O)O)c(-c2ccccc2)c1CCCCOCc1ccccc1,0.4486935943421175,2.1440312778186907,5.289500000000006,83.83,0.99,0.999,0.989
